Zip,Zip,NAICSIndustry,PctLoanMin
93705.0,93705.0,General Automotive Repair ,1.7273815873284182
93705.0,93705.0,All Other Amusement and Recreation Industries ,1.2659323622061234
93705.0,93705.0,Services for the Elderly and Persons with Disabilities ,1.2659323622061234
93705.0,93705.0,Support Activities for Rail Transportation,1.2659323622061234
93706.0,93706.0,Grape Vineyards ,6.1757931920613185
93706.0,93706.0,Commercial and Institutional Building Construction ,5.36725786488265
93706.0,93706.0,Motor Vehicle Body Manufacturing ,4.693267313424408
93706.0,93706.0,Site Preparation Contractors,4.567879033942681
93706.0,93706.0,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,4.567879033942681
93706.0,93706.0,"General Freight Trucking, Local ",3.207601200666822
93706.0,93706.0,All Other Miscellaneous Crop Farming ,3.103122250426597
93706.0,93706.0,Dairy Cattle and Milk Production,2.6947588437802685
93706.0,93706.0,"Book, Periodical, and Newspaper Merchant Wholesalers ",2.2839395169713406
93706.0,93706.0,Elementary and Secondary Schools ,2.2839395169713406
93709.0,93709.0,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",100.0
93711.0,93711.0,Offices of Physicians (except Mental Health Specialists) ,10.295291608123463
93711.0,93711.0,Lessors of Nonresidential Buildings (except Miniwarehouses) ,4.43978708331298
93711.0,93711.0,Packaged Frozen Food Merchant Wholesalers ,4.0730728563765455
93711.0,93711.0,Offices of Lawyers,3.304358785826395
93711.0,93711.0,Insurance Agencies and Brokerages ,3.0277623792746713
93711.0,93711.0,Tree Nut Farming ,2.481074043576923
93711.0,93711.0,Full-Service Restaurants ,2.3212994598630714
93711.0,93711.0,Home Health Care Services,2.101881143330407
93711.0,93711.0,UNKNOWN,2.094541237951137
93711.0,93711.0,Architectural Services,2.0827910581598563
93715.0,93715.0,All Other Support Activities for Transportation ,100.0
93720.0,93720.0,Offices of Physicians (except Mental Health Specialists) ,23.000789604612244
93720.0,93720.0,Offices of Lawyers,8.32288532460257
93720.0,93720.0,Full-Service Restaurants ,6.853642110666644
93720.0,93720.0,Offices of Dentists ,5.913228795024481
93720.0,93720.0,UNKNOWN,3.9367695838066297
93720.0,93720.0,Offices of Optometrists,2.958769855038725
93720.0,93720.0,Outpatient Mental Health and Substance Abuse Centers ,2.262919776365468
93720.0,93720.0,Insurance Agencies and Brokerages ,2.197159901715339
93720.0,93720.0,Offices of Certified Public Accountants ,1.8172954930021439
93720.0,93720.0,Residential Property Managers ,1.6193439455744103
93721.0,93721.0,Offices of Lawyers,9.945466125399072
93721.0,93721.0,Other Heavy and Civil Engineering Construction ,9.383525623597878
93721.0,93721.0,Software Publishers,4.691762811798939
93721.0,93721.0,Limited-Service Restaurants ,3.529460681024958
93721.0,93721.0,UNKNOWN,3.293497853931154
93721.0,93721.0,Hotels (except Casino Hotels) and Motels ,3.2884448253828467
93721.0,93721.0,Offices of Physicians (except Mental Health Specialists) ,2.870554203498727
93721.0,93721.0,Civic and Social Organizations ,2.7666785748454985
93721.0,93721.0,Casinos (except Casino Hotels),2.3458814058994695
93721.0,93721.0,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",2.3458814058994695
93722.0,93722.0,Commercial and Institutional Building Construction ,3.8385552806121845
93722.0,93722.0,All Other Personal Services ,3.4647822973150735
